CÉGNÉV,VÁROS,IRÁNYÍTÓSZÁM,UTCA,TELEFON,ALKALMAZOTTAK,ALAPTŐKE,VEZETŐ
9X Befektetési Tanácsadó Kft.,Szeged,1149,Akadémia u. 1-3.,272-1700,10,1000000,Bányai István
D5 Fantázia St,Budapest,1067,Amerikai út 13.,1126729,10,1000000,Szabóné Zsuzsanna
c.d.e. GEORGE Z.K. Rt.,Budapest,1045,Andrássy út 121.,1693231,50,16000,Alain Jourdan
aK Építőip. Inf. és Marketing Iroda,Budapest,1088,Angol u. 10-20.,1384546;1384633/101,50,0,Tasi László
ATTA Reklámügynökség,Budapest,1107,Angol út 9-11.,1772707,10,0,Szalay Katalin
ARES Budapest PR Kft.,Szeged,1112,Apáczai Csere J. u. 11.,2671223;163-3625,10,0,Szabó Gabriella
NOTH Piackutató Kft.,Budapest,1012,Apáczai Csere J. u. 12-14.,1159432;1359686;9290,10,0,Szabó János
Driam 88 Kft,Szeged,1138,Apáczai Csere J. u. 4.,1498725,10,1700,Szűcs Zoltán
Agrarmarketix Center Co. Inc.,Budapest,1075,Asbóth u. 9-11.,1415172;1415515,10,10000,Tóth Péter
AAA bank Rt.,Budapest,1126,Attila u. 71. IV/3,1552722,700,4202000,Strack János
Egeromplex Tervező Iroda Kft.,Budapest,1095,Bajcsy-Zsilinszky út 12.,2150992,10,0,Klopfer Tamás
Kék csillag taxi Kft.,Budapest,1091,Bányalég út 80-84.,1576521;34,200,1000,Lázár Mihály
KALAPOK Kft.,Budapest,1083,Bartók Béla út 152.,1331595,50,0,Ujhelyi Pál
KARE Keresk. és Szolg. Kft.,Budapest,1055,Bartók Béla út 152.,1316236;1868075,10,1100,Monos Sebestyén
American AAA Magyaro. Kft,Budapest,1027,Báthori u.10.,2015817;2020415;0570,50,0,Tordai Ferenc
AAATOURS Utazási Iroda Kft.,Budapest,1051,Báthori u. 12.,1317167;1317312,10,25000,Komár Károly
FILNET Kft,Budapest,1144,Bécsi út 122-124.,2522999,50,0,Váraljai Péter
Xantra Kft.,Budapest,1123,Bécsi út 4.,1351528;1767;1551367,10,0,Geszti András
KYKLOPS Biztosító Rt.,Budapest,1122,Belgrád rkp. 27.,1152600;1355550,50,1000000,Johan Decker
Art 44 Stúdió,Budapest,1113,Bem rkp. 28.,1660801,10,5000,Tréfás Miklós
LARTEX Nemz. Ker.-i Rt.,Budapest,1015,Bihari út 6.,1569244,50,240000,Bieber András
PASA Építőipari Kft.,Budapest,1052,Borkő u. 8.,2661820,200,16750,Ábrahám András
AUDIT NOW Könyvszakértő Rt.,Budapest,1077,Borostyán u. 1/B,1424320;1429938,50,10000,Horváth József
AUSTROPRINT 2000 Kft.,Budapest,1149,Bosnyák tér 5.,1830799;1836503,50,0,Kertai Gyula
AUTOKAR Rt.,Budapest,1132,Bosnyák u.7/b.,1299056;1299057,700,0,Szakállas Csaba
